ref_data_type|ref_data_code|ref_data_desc
field_position|5|third base
batted_ball_type|BINT|batter interference
ejection|M|manager
ump_position|umplf|left field
sky|0|unknown
ejection|C|coach
precipitation|0|unknown
precipitation|4|rain
field_position|2|catcher
batted_ball_type|IF|infield fly rule
game_number|1|first game of double header
field_condition|0|unknown
batted_ball_type|MREV|manager challenge of call on field
field_position|11|pinch hitter
ump_position|ump3b|third base
game_team|1|home team
batted_ball_type|BPDP|bunt popped into double play
batted_ball_type|FDP|fly ball double play
field_condition|2|wet
instant_replay_reason|I|fan interference
ejection|N|non-uniformed person
batted_ball_type|BP|bunt pop up
batted_ball_type|COUR|courtesy runner
batted_ball_type|SH|sacrifice hit (bunt)
batted_ball_type|F|fly ball
ump_position|umphome|home plate
precipitation|1|none
batted_ball_type|R$|relay throw from initial fielder to $ with no out
precipitation|3|showers
protest|H|disallowed protest by home team
batted_ball_type|LDP|lined into double play
temperature|0|unknown
wind_direction|tolf|to left field
instant_replay_type|X|other
wind_direction|tocf|to center field
batted_ball_type|NDP|no double play credited for this play
field_position|6|short stop
ump_position|umprf|right field
batted_ball_type|GDP|ground ball double play
game_number|0|single game
sky|3|overcast
sky|2|cloudy
pitch_code|U|unknown or missed pitch
instant_replay_type|P|home plate collision
instant_replay_type|H|home run
instant_replay_type|G|grounds rule
instant_replay_type|N|fan interference
instant_replay_type|S|boundary call
instant_replay_type|C|force play
instant_replay_type|A|tag play
instant_replay_type|O|fair/foul outfield
instant_replay_type|T|trap play outfield
instant_replay_type|I|hit by a pitch
instant_replay_type|M|timing play
instant_replay_type|B|touching a base
instant_replay_type|R|passing runners
instant_replay_type|K|record keeping
instant_replay_type|L|multiple issues
batted_ball_type|COUB|courtesy batter
field_position|3|first base
wind_direction|fromlf|from left field
field_position|1|pitcher
batted_ball_type|IPHR|inside park home run
field_position|0|
field_condition|1|soaked
protest|V|disallowed protest by visiting team
pitch_code|Y|ball put into play on pitchout
batted_ball_type|COUF|courtesy fielder
wind_direction|rtol|from right field to left field
field_position|10|designated hitter
protest|P|unidentified team
batted_ball_type|BR|runner hit by batted ball
batted_ball_type|RINT|runner interference
batted_ball_type|FO|force out
batted_ball_type|C|called third strike
batted_ball_type|BGDP|bunt grounded into double play
game_number|2|second game of double header
ump_position|ump2b|second base
pitch_code|R|foul ball on pitchout
instant_replay_initiator|M|manager
batted_ball_type|BL|line drive bunt
batted_ball_type|FINT|fan interference
batted_ball_type|LTP|lined into triple play
wind_direction|torf|to right field
wind_direction|fromrf|from right field
protest|X|upheld protest by visiting team
batted_ball_type|DP|unspecified double play
sky|5|dome
batted_ball_type|L|line drive
ump_position|ump1b|first base
batted_ball_type|GTP|ground ball triple play
sky|1|sunny
batted_ball_type|P|pop fly
field_condition|3|damp
field_position|12|pinch runner
batted_ball_type|BG|ground ball bunt
instant_replay_reason|O|over the fence
pitch_code|S|swinging strike
field_position|4|second base
ejection|P|player
pitch_code|P|pitch out
pitch_code|T|foul tip
batted_ball_type|G|ground ball
batted_ball_type|TP|unspecified triple play
batted_ball_type|BOOT|batting out of turn
batted_ball_type|PASS|a runner passed another runner and called out
precipitation|5|snow
pitch_code|X|ball put in play by hitter
sky|4|night
batted_ball_type|INT|interference
batted_ball_type|FL|foul
batted_ball_type|E$|error on $
protest|Y|upheld protest by home team
batted_ball_type|OBS|obstruction (fielder obstructing a runner)
batted_ball_type|TH|throw
wind_direction|ltor|from left field to right field
wind_speed|-1|unknown
pitch_code|Q|swinging on a pitchout
field_position|7|left field
batted_ball_type|AP|appeal play
field_position|8|center field
instant_replay_reason|F|fair/foul
instant_replay_initiator|U|umpire
instant_replay_initiator|I|home run
batted_ball_type|UINT|umpire interference
batted_ball_type|UREF|umpire review of call on field
precipitation|2|drizzle
batted_ball_type|TH%|throw to base %
pitch_code|O|foul tip on bunt
wind_direction|fromcf|from center field
pitch_code|V|called ball because pitcher went to his mouth
batted_ball_type|SF|sacrifice fly
ejection|T|trainer
field_position|9|right field
field_condition|4|dry
wind_direction|unknown|unknown
game_team|0|visiting team
personnel|M|manager
personnel|U|umpire
personnel||unknown
personnel|0|player career started after 1983
personnel|1|player career ended before 1984
season_game_type|R|regular season
season_game_type|A|all star
season_game_type|L|league championship
season_game_type|1|division 1 championship
season_game_type|2|division 2 championship
season_game_type|C|wild card
season_game_type|W|world series championship
throws|L|left
throws|R|right
throws|B|left and right
bats|L|left
bats|R|right
bats|B|left and right
team_league|A|American
team_league|N|National
ballpark_league|AL|American
ballpark_league|NL|National
field_position_x|SS|short stop
field_position_x|OF|out field
field_position_x|C|catcher
field_position_x|DH|designated hitter
